Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.91,0.01,0.261433423
100% Corpus,7,0.91,0.31,0.254315746
100% Corpus,7,0.91,0.61,0.262237113
100% Corpus,7,0.91,0.91,0.248707052
100% Corpus,7,0.91,symmetric,0.287402336
100% Corpus,7,symmetric,0.01,0.263949448
100% Corpus,7,symmetric,0.31,0.295180081
100% Corpus,7,symmetric,0.61,0.27016311
100% Corpus,7,symmetric,0.91,0.281751681
100% Corpus,7,symmetric,symmetric,0.267826818
100% Corpus,7,asymmetric,0.01,0.270996057
100% Corpus,7,asymmetric,0.31,0.300387202
100% Corpus,7,asymmetric,0.61,0.280094555
100% Corpus,7,asymmetric,0.91,0.267993581
100% Corpus,7,asymmetric,symmetric,0.271642909
100% Corpus,8,0.01,0.01,0.280801489
100% Corpus,8,0.01,0.31,0.297177991
100% Corpus,8,0.01,0.61,0.284618786
100% Corpus,8,0.01,0.91,0.292107049
100% Corpus,8,0.01,symmetric,0.27758125
100% Corpus,8,0.31,0.01,0.265862294
100% Corpus,8,0.31,0.31,0.278555645
100% Corpus,8,0.31,0.61,0.265395234
100% Corpus,8,0.31,0.91,0.292958334
100% Corpus,8,0.31,symmetric,0.27180048
100% Corpus,8,0.61,0.01,0.277659656
100% Corpus,8,0.61,0.31,0.272388424
100% Corpus,8,0.61,0.61,0.256922069
100% Corpus,8,0.61,0.91,0.27038521
100% Corpus,8,0.61,symmetric,0.257721282
100% Corpus,8,0.91,0.01,0.268635176
100% Corpus,8,0.91,0.31,0.253676411
100% Corpus,8,0.91,0.61,0.266708632
100% Corpus,8,0.91,0.91,0.283980802
100% Corpus,8,0.91,symmetric,0.264463829
100% Corpus,8,symmetric,0.01,0.289149244
100% Corpus,8,symmetric,0.31,0.297864152
100% Corpus,8,symmetric,0.61,0.263767918
100% Corpus,8,symmetric,0.91,0.286787487
100% Corpus,8,symmetric,symmetric,0.280804783
100% Corpus,8,asymmetric,0.01,0.277448088
100% Corpus,8,asymmetric,0.31,0.261286933
100% Corpus,8,asymmetric,0.61,0.280636067
100% Corpus,8,asymmetric,0.91,0.290831545
100% Corpus,8,asymmetric,symmetric,0.263130867
100% Corpus,9,0.01,0.01,0.273871007
100% Corpus,9,0.01,0.31,0.276330111
100% Corpus,9,0.01,0.61,0.282071726
100% Corpus,9,0.01,0.91,0.277278635
100% Corpus,9,0.01,symmetric,0.262047166
100% Corpus,9,0.31,0.01,0.27122087
100% Corpus,9,0.31,0.31,0.265396394
100% Corpus,9,0.31,0.61,0.268346919
100% Corpus,9,0.31,0.91,0.26772736
100% Corpus,9,0.31,symmetric,0.26917007
100% Corpus,9,0.61,0.01,0.268761377
100% Corpus,9,0.61,0.31,0.279261361
100% Corpus,9,0.61,0.61,0.280948538
100% Corpus,9,0.61,0.91,0.285093323
100% Corpus,9,0.61,symmetric,0.280107165
100% Corpus,9,0.91,0.01,0.257958237
100% Corpus,9,0.91,0.31,0.290125557
100% Corpus,9,0.91,0.61,0.270823234
100% Corpus,9,0.91,0.91,0.261739561
100% Corpus,9,0.91,symmetric,0.254198364
100% Corpus,9,symmetric,0.01,0.282340673
100% Corpus,9,symmetric,0.31,0.289484474
100% Corpus,9,symmetric,0.61,0.270043552
100% Corpus,9,symmetric,0.91,0.292285786
100% Corpus,9,symmetric,symmetric,0.290916237
100% Corpus,9,asymmetric,0.01,0.270701227
100% Corpus,9,asymmetric,0.31,0.266928531
100% Corpus,9,asymmetric,0.61,0.275084846
100% Corpus,9,asymmetric,0.91,0.278598343
100% Corpus,9,asymmetric,symmetric,0.295215326
100% Corpus,10,0.01,0.01,0.272133127
100% Corpus,10,0.01,0.31,0.291177199
100% Corpus,10,0.01,0.61,0.290281218
100% Corpus,10,0.01,0.91,0.276530445
100% Corpus,10,0.01,symmetric,0.276366611
100% Corpus,10,0.31,0.01,0.283883425
100% Corpus,10,0.31,0.31,0.261165201
100% Corpus,10,0.31,0.61,0.272745098
100% Corpus,10,0.31,0.91,0.289752313
100% Corpus,10,0.31,symmetric,0.280290728
100% Corpus,10,0.61,0.01,0.277334096
100% Corpus,10,0.61,0.31,0.275800806
100% Corpus,10,0.61,0.61,0.252307071
100% Corpus,10,0.61,0.91,0.280029615
100% Corpus,10,0.61,symmetric,0.273263949
100% Corpus,10,0.91,0.01,0.271319721
100% Corpus,10,0.91,0.31,0.269092035
100% Corpus,10,0.91,0.61,0.26460975
100% Corpus,10,0.91,0.91,0.260014433
100% Corpus,10,0.91,symmetric,0.253292442
100% Corpus,10,symmetric,0.01,0.293070431
100% Corpus,10,symmetric,0.31,0.29049566
100% Corpus,10,symmetric,0.61,0.267602683
100% Corpus,10,symmetric,0.91,0.283428486
100% Corpus,10,symmetric,symmetric,0.284084418
100% Corpus,10,asymmetric,0.01,0.282668141
100% Corpus,10,asymmetric,0.31,0.27790278
100% Corpus,10,asymmetric,0.61,0.285030528
100% Corpus,10,asymmetric,0.91,0.271886465
100% Corpus,10,asymmetric,symmetric,0.282768116
100% Corpus,11,0.01,0.01,0.27591339
100% Corpus,11,0.01,0.31,0.276460515
100% Corpus,11,0.01,0.61,0.289463654
100% Corpus,11,0.01,0.91,0.289144766
100% Corpus,11,0.01,symmetric,0.282349045
100% Corpus,11,0.31,0.01,0.283397401
100% Corpus,11,0.31,0.31,0.287252883
100% Corpus,11,0.31,0.61,0.287777948
100% Corpus,11,0.31,0.91,0.281233842
100% Corpus,11,0.31,symmetric,0.281475976
100% Corpus,11,0.61,0.01,0.263614627
100% Corpus,11,0.61,0.31,0.268011393
100% Corpus,11,0.61,0.61,0.271739025
100% Corpus,11,0.61,0.91,0.259376472
100% Corpus,11,0.61,symmetric,0.27304028
100% Corpus,11,0.91,0.01,0.272973532
100% Corpus,11,0.91,0.31,0.261453161
100% Corpus,11,0.91,0.61,0.259448808
100% Corpus,11,0.91,0.91,0.262513926
100% Corpus,11,0.91,symmetric,0.270813918
100% Corpus,11,symmetric,0.01,0.277292787
100% Corpus,11,symmetric,0.31,0.278658149
100% Corpus,11,symmetric,0.61,0.279505215
100% Corpus,11,symmetric,0.91,0.278895232
100% Corpus,11,symmetric,symmetric,0.290025273
100% Corpus,11,asymmetric,0.01,0.286974899
100% Corpus,11,asymmetric,0.31,0.294561831
100% Corpus,11,asymmetric,0.61,0.264591133
100% Corpus,11,asymmetric,0.91,0.281786046
100% Corpus,11,asymmetric,symmetric,0.269595893
100% Corpus,12,0.01,0.01,0.285956954
100% Corpus,12,0.01,0.31,0.276354728
100% Corpus,12,0.01,0.61,0.279747349
100% Corpus,12,0.01,0.91,0.274636191
100% Corpus,12,0.01,symmetric,0.281925442
100% Corpus,12,0.31,0.01,0.269054555
100% Corpus,12,0.31,0.31,0.280677789
100% Corpus,12,0.31,0.61,0.273348832
100% Corpus,12,0.31,0.91,0.288439954
100% Corpus,12,0.31,symmetric,0.274363865
100% Corpus,12,0.61,0.01,0.282841373
100% Corpus,12,0.61,0.31,0.262543089
100% Corpus,12,0.61,0.61,0.263417023
100% Corpus,12,0.61,0.91,0.277157226
100% Corpus,12,0.61,symmetric,0.267939636
100% Corpus,12,0.91,0.01,0.262538716
100% Corpus,12,0.91,0.31,0.263347387
100% Corpus,12,0.91,0.61,0.268685913
100% Corpus,12,0.91,0.91,0.262156603
100% Corpus,12,0.91,symmetric,0.262491125
100% Corpus,12,symmetric,0.01,0.280476291
100% Corpus,12,symmetric,0.31,0.281699985
100% Corpus,12,symmetric,0.61,0.288356969
100% Corpus,12,symmetric,0.91,0.304844679
100% Corpus,12,symmetric,symmetric,0.297518393
100% Corpus,12,asymmetric,0.01,0.284752383
100% Corpus,12,asymmetric,0.31,0.281747063
100% Corpus,12,asymmetric,0.61,0.278276855
100% Corpus,12,asymmetric,0.91,0.291430471
100% Corpus,12,asymmetric,symmetric,0.271687857
100% Corpus,13,0.01,0.01,0.288872862
100% Corpus,13,0.01,0.31,0.280242221
100% Corpus,13,0.01,0.61,0.278676797
100% Corpus,13,0.01,0.91,0.294563456
100% Corpus,13,0.01,symmetric,0.28138336
100% Corpus,13,0.31,0.01,0.28604484
100% Corpus,13,0.31,0.31,0.275500884
100% Corpus,13,0.31,0.61,0.290681405
100% Corpus,13,0.31,0.91,0.277152337
100% Corpus,13,0.31,symmetric,0.282942466
100% Corpus,13,0.61,0.01,0.269303116
100% Corpus,13,0.61,0.31,0.280841066
100% Corpus,13,0.61,0.61,0.275094946
100% Corpus,13,0.61,0.91,0.266129844
100% Corpus,13,0.61,symmetric,0.271322841
100% Corpus,13,0.91,0.01,0.26918649
100% Corpus,13,0.91,0.31,0.25919503
100% Corpus,13,0.91,0.61,0.268971342
100% Corpus,13,0.91,0.91,0.260696059
100% Corpus,13,0.91,symmetric,0.280591282
100% Corpus,13,symmetric,0.01,0.27876564
100% Corpus,13,symmetric,0.31,0.277909073
100% Corpus,13,symmetric,0.61,0.294955045
100% Corpus,13,symmetric,0.91,0.282970298
100% Corpus,13,symmetric,symmetric,0.289231253
100% Corpus,13,asymmetric,0.01,0.284114809
100% Corpus,13,asymmetric,0.31,0.291915005
100% Corpus,13,asymmetric,0.61,0.295734051
100% Corpus,13,asymmetric,0.91,0.269691289
100% Corpus,13,asymmetric,symmetric,0.293845844
100% Corpus,14,0.01,0.01,0.280628893
100% Corpus,14,0.01,0.31,0.31163202
100% Corpus,14,0.01,0.61,0.283012958
100% Corpus,14,0.01,0.91,0.284541616
100% Corpus,14,0.01,symmetric,0.286699477
100% Corpus,14,0.31,0.01,0.273150969
100% Corpus,14,0.31,0.31,0.27358134
100% Corpus,14,0.31,0.61,0.298511587
100% Corpus,14,0.31,0.91,0.287511165
100% Corpus,14,0.31,symmetric,0.275642081
100% Corpus,14,0.61,0.01,0.266710181
100% Corpus,14,0.61,0.31,0.276604311
100% Corpus,14,0.61,0.61,0.275660766
100% Corpus,14,0.61,0.91,0.26965936
100% Corpus,14,0.61,symmetric,0.269067043
100% Corpus,14,0.91,0.01,0.256444763
100% Corpus,14,0.91,0.31,0.263499411
100% Corpus,14,0.91,0.61,0.267522492
100% Corpus,14,0.91,0.91,0.259773609
100% Corpus,14,0.91,symmetric,0.268478111
100% Corpus,14,symmetric,0.01,0.282324302
100% Corpus,14,symmetric,0.31,0.282290973
100% Corpus,14,symmetric,0.61,0.286865428
100% Corpus,14,symmetric,0.91,0.293749509
100% Corpus,14,symmetric,symmetric,0.282060362
100% Corpus,14,asymmetric,0.01,0.273044738
100% Corpus,14,asymmetric,0.31,0.284163961
100% Corpus,14,asymmetric,0.61,0.293709176
100% Corpus,14,asymmetric,0.91,0.281513846
100% Corpus,14,asymmetric,symmetric,0.301466488
100% Corpus,15,0.01,0.01,0.29077734
100% Corpus,15,0.01,0.31,0.277255454
100% Corpus,15,0.01,0.61,0.282101363
100% Corpus,15,0.01,0.91,0.284593771
100% Corpus,15,0.01,symmetric,0.303095945
100% Corpus,15,0.31,0.01,0.296528034
100% Corpus,15,0.31,0.31,0.26944072
100% Corpus,15,0.31,0.61,0.278156992
100% Corpus,15,0.31,0.91,0.293284082
100% Corpus,15,0.31,symmetric,0.302099425
100% Corpus,15,0.61,0.01,0.275605092
100% Corpus,15,0.61,0.31,0.262414548
100% Corpus,15,0.61,0.61,0.272480714
100% Corpus,15,0.61,0.91,0.267581653
100% Corpus,15,0.61,symmetric,0.291722019
100% Corpus,15,0.91,0.01,0.26705713
100% Corpus,15,0.91,0.31,0.255441934
100% Corpus,15,0.91,0.61,0.257092024
100% Corpus,15,0.91,0.91,0.263085432
100% Corpus,15,0.91,symmetric,0.262680797
100% Corpus,15,symmetric,0.01,0.291434512
100% Corpus,15,symmetric,0.31,0.262695681
100% Corpus,15,symmetric,0.61,0.279945823
100% Corpus,15,symmetric,0.91,0.279601459
100% Corpus,15,symmetric,symmetric,0.292658369
100% Corpus,15,asymmetric,0.01,0.279286346
100% Corpus,15,asymmetric,0.31,0.299634155
100% Corpus,15,asymmetric,0.61,0.273963662
100% Corpus,15,asymmetric,0.91,0.266021754
100% Corpus,15,asymmetric,symmetric,0.288623641
